CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;03/09/2024;18;0,783;R
ES0022000004433403RW1P;03/09/2024;19;0,312;R
ES0022000004433403RW1P;03/09/2024;20;0,312;R
ES0022000004433403RW1P;03/09/2024;21;0,696;R
ES0022000004433403RW1P;03/09/2024;22;0,849;R
ES0022000004433403RW1P;03/09/2024;23;0,458;R
ES0022000004433403RW1P;03/09/2024;24;0,534;R
ES0022000004433403RW1P;04/09/2024;1;0,266;R
ES0022000004433403RW1P;04/09/2024;2;0,156;R
ES0022000004433403RW1P;04/09/2024;3;0,135;R
ES0022000004433403RW1P;04/09/2024;4;0,131;R
ES0022000004433403RW1P;04/09/2024;5;0,116;R
ES0022000004433403RW1P;04/09/2024;6;0,111;R
ES0022000004433403RW1P;04/09/2024;7;0,123;R
ES0022000004433403RW1P;04/09/2024;8;0,115;R
ES0022000004433403RW1P;04/09/2024;9;0,121;R
ES0022000004433403RW1P;04/09/2024;10;0,178;R
ES0022000004433403RW1P;04/09/2024;11;0,363;R
ES0022000004433403RW1P;04/09/2024;12;0,335;R
ES0022000004433403RW1P;04/09/2024;13;0,272;R
ES0022000004433403RW1P;04/09/2024;14;1,431;R
ES0022000004433403RW1P;04/09/2024;15;1,389;R
ES0022000004433403RW1P;04/09/2024;16;0,389;R
ES0022000004433403RW1P;04/09/2024;17;0,443;R
ES0022000004433403RW1P;04/09/2024;18;0,412;R
ES0022000004433403RW1P;04/09/2024;19;0,481;R
ES0022000004433403RW1P;04/09/2024;20;0,370;R
ES0022000004433403RW1P;04/09/2024;21;0,715;R
ES0022000004433403RW1P;04/09/2024;22;0,412;R
ES0022000004433403RW1P;04/09/2024;23;0,392;R
ES0022000004433403RW1P;04/09/2024;24;0,417;R
ES0022000004433403RW1P;05/09/2024;1;0,314;R
ES0022000004433403RW1P;05/09/2024;2;0,246;R
ES0022000004433403RW1P;05/09/2024;3;0,130;R
ES0022000004433403RW1P;05/09/2024;4;0,126;R
ES0022000004433403RW1P;05/09/2024;5;0,120;R
ES0022000004433403RW1P;05/09/2024;6;0,119;R
ES0022000004433403RW1P;05/09/2024;7;0,117;R
ES0022000004433403RW1P;05/09/2024;8;0,221;R
ES0022000004433403RW1P;05/09/2024;9;0,138;R
ES0022000004433403RW1P;05/09/2024;10;0,320;R
ES0022000004433403RW1P;05/09/2024;11;0,383;R
