CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;05/04/2022;3;0,081;R
ES0022000004433403RW1P;05/04/2022;4;0,103;R
ES0022000004433403RW1P;05/04/2022;5;0,088;R
ES0022000004433403RW1P;05/04/2022;6;0,066;R
ES0022000004433403RW1P;05/04/2022;7;0,344;R
ES0022000004433403RW1P;05/04/2022;8;0,160;R
ES0022000004433403RW1P;05/04/2022;9;0,261;R
ES0022000004433403RW1P;05/04/2022;10;0,220;R
ES0022000004433403RW1P;05/04/2022;11;1,923;E
ES0022000004433403RW1P;05/04/2022;12;0,697;E
ES0022000004433403RW1P;05/04/2022;13;0,262;E
ES0022000004433403RW1P;05/04/2022;14;0,203;E
ES0022000004433403RW1P;05/04/2022;15;0,176;R
ES0022000004433403RW1P;05/04/2022;16;0,167;R
ES0022000004433403RW1P;05/04/2022;17;0,136;R
ES0022000004433403RW1P;05/04/2022;18;0,172;R
ES0022000004433403RW1P;05/04/2022;19;0,180;E
ES0022000004433403RW1P;05/04/2022;20;0,403;E
ES0022000004433403RW1P;05/04/2022;21;1,984;E
ES0022000004433403RW1P;05/04/2022;22;1,214;E
ES0022000004433403RW1P;05/04/2022;23;0,778;R
ES0022000004433403RW1P;05/04/2022;24;0,329;R
ES0022000004433403RW1P;06/04/2022;1;0,119;R
ES0022000004433403RW1P;06/04/2022;2;0,073;R
ES0022000004433403RW1P;06/04/2022;3;0,081;R
ES0022000004433403RW1P;06/04/2022;4;0,098;R
ES0022000004433403RW1P;06/04/2022;5;0,099;R
ES0022000004433403RW1P;06/04/2022;6;0,080;R
ES0022000004433403RW1P;06/04/2022;7;0,229;R
ES0022000004433403RW1P;06/04/2022;8;0,138;R
ES0022000004433403RW1P;06/04/2022;9;0,295;R
ES0022000004433403RW1P;06/04/2022;10;0,307;R
ES0022000004433403RW1P;06/04/2022;11;0,153;E
ES0022000004433403RW1P;06/04/2022;12;0,159;E
ES0022000004433403RW1P;06/04/2022;13;0,264;E
ES0022000004433403RW1P;06/04/2022;14;0,234;E
ES0022000004433403RW1P;06/04/2022;15;0,223;R
ES0022000004433403RW1P;06/04/2022;16;0,252;R
ES0022000004433403RW1P;06/04/2022;17;0,265;R
ES0022000004433403RW1P;06/04/2022;18;0,262;R
ES0022000004433403RW1P;06/04/2022;19;0,511;E
ES0022000004433403RW1P;06/04/2022;20;0,371;E
ES0022000004433403RW1P;06/04/2022;21;0,460;E
ES0022000004433403RW1P;06/04/2022;22;0,958;E
ES0022000004433403RW1P;06/04/2022;23;0,484;R
ES0022000004433403RW1P;06/04/2022;24;0,275;R
ES0022000004433403RW1P;07/04/2022;1;0,089;R
ES0022000004433403RW1P;07/04/2022;2;0,114;R
ES0022000004433403RW1P;07/04/2022;3;0,097;R
ES0022000004433403RW1P;07/04/2022;4;0,062;R
ES0022000004433403RW1P;07/04/2022;5;0,108;R
ES0022000004433403RW1P;07/04/2022;6;0,103;R
ES0022000004433403RW1P;07/04/2022;7;0,219;R
ES0022000004433403RW1P;07/04/2022;8;0,384;R
ES0022000004433403RW1P;07/04/2022;9;0,985;R
ES0022000004433403RW1P;07/04/2022;10;0,712;R
ES0022000004433403RW1P;07/04/2022;11;0,329;E
ES0022000004433403RW1P;07/04/2022;12;0,304;E
ES0022000004433403RW1P;07/04/2022;13;0,273;E
ES0022000004433403RW1P;07/04/2022;14;0,365;E
ES0022000004433403RW1P;07/04/2022;15;0,205;R
ES0022000004433403RW1P;07/04/2022;16;0,234;R
ES0022000004433403RW1P;07/04/2022;17;0,267;R
ES0022000004433403RW1P;07/04/2022;18;0,241;R
ES0022000004433403RW1P;07/04/2022;19;0,376;E
ES0022000004433403RW1P;07/04/2022;20;0,922;E
ES0022000004433403RW1P;07/04/2022;21;0,655;E
ES0022000004433403RW1P;07/04/2022;22;0,495;E
ES0022000004433403RW1P;07/04/2022;23;0,459;R
ES0022000004433403RW1P;07/04/2022;24;0,214;R
ES0022000004433403RW1P;08/04/2022;1;0,122;R
ES0022000004433403RW1P;08/04/2022;2;0,104;R
ES0022000004433403RW1P;08/04/2022;3;0,081;R
ES0022000004433403RW1P;08/04/2022;4;0,073;R
ES0022000004433403RW1P;08/04/2022;5;0,101;R
ES0022000004433403RW1P;08/04/2022;6;0,100;R
ES0022000004433403RW1P;08/04/2022;7;0,262;R
ES0022000004433403RW1P;08/04/2022;8;0,138;R
ES0022000004433403RW1P;08/04/2022;9;0,204;R
ES0022000004433403RW1P;08/04/2022;10;0,246;R
ES0022000004433403RW1P;08/04/2022;11;0,193;E
ES0022000004433403RW1P;08/04/2022;12;0,265;E
ES0022000004433403RW1P;08/04/2022;13;0,166;E
ES0022000004433403RW1P;08/04/2022;14;0,342;E
ES0022000004433403RW1P;08/04/2022;15;0,236;R
ES0022000004433403RW1P;08/04/2022;16;0,218;R
ES0022000004433403RW1P;08/04/2022;17;0,199;R
ES0022000004433403RW1P;08/04/2022;18;0,224;R
ES0022000004433403RW1P;08/04/2022;19;0,244;E
ES0022000004433403RW1P;08/04/2022;20;1,506;E
ES0022000004433403RW1P;08/04/2022;21;1,357;E
ES0022000004433403RW1P;08/04/2022;22;0,790;E
ES0022000004433403RW1P;08/04/2022;23;0,408;R
ES0022000004433403RW1P;08/04/2022;24;0,319;R
ES0022000004433403RW1P;09/04/2022;1;0,332;R
ES0022000004433403RW1P;09/04/2022;2;0,245;R
ES0022000004433403RW1P;09/04/2022;3;0,168;R
ES0022000004433403RW1P;09/04/2022;4;0,173;R
ES0022000004433403RW1P;09/04/2022;5;0,168;R
ES0022000004433403RW1P;09/04/2022;6;0,175;R
ES0022000004433403RW1P;09/04/2022;7;0,163;R
ES0022000004433403RW1P;09/04/2022;8;0,168;R
ES0022000004433403RW1P;09/04/2022;9;0,491;R
ES0022000004433403RW1P;09/04/2022;10;0,435;R
ES0022000004433403RW1P;09/04/2022;11;0,298;R
ES0022000004433403RW1P;09/04/2022;12;0,338;R
ES0022000004433403RW1P;09/04/2022;13;0,471;R
ES0022000004433403RW1P;09/04/2022;14;0,775;R
ES0022000004433403RW1P;09/04/2022;15;0,361;R
ES0022000004433403RW1P;09/04/2022;16;0,389;R
ES0022000004433403RW1P;09/04/2022;17;0,384;R
ES0022000004433403RW1P;09/04/2022;18;0,409;R
ES0022000004433403RW1P;09/04/2022;19;0,364;R
ES0022000004433403RW1P;09/04/2022;20;0,353;R
ES0022000004433403RW1P;09/04/2022;21;0,350;R
ES0022000004433403RW1P;09/04/2022;22;1,031;R
ES0022000004433403RW1P;09/04/2022;23;0,805;R
ES0022000004433403RW1P;09/04/2022;24;0,347;R
ES0022000004433403RW1P;10/04/2022;1;0,243;R
ES0022000004433403RW1P;10/04/2022;2;0,217;R
ES0022000004433403RW1P;10/04/2022;3;0,099;R
ES0022000004433403RW1P;10/04/2022;4;0,099;R
ES0022000004433403RW1P;10/04/2022;5;0,097;R
ES0022000004433403RW1P;10/04/2022;6;0,097;R
ES0022000004433403RW1P;10/04/2022;7;0,096;R
ES0022000004433403RW1P;10/04/2022;8;0,098;R
ES0022000004433403RW1P;10/04/2022;9;0,102;R
ES0022000004433403RW1P;10/04/2022;10;0,416;R
