CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;29/07/2024;18;0,563;R
ES0022000004433403RW1P;29/07/2024;19;0,549;R
ES0022000004433403RW1P;29/07/2024;20;0,562;R
ES0022000004433403RW1P;29/07/2024;21;0,726;R
ES0022000004433403RW1P;29/07/2024;22;0,598;R
ES0022000004433403RW1P;29/07/2024;23;0,578;R
ES0022000004433403RW1P;29/07/2024;24;0,644;R
ES0022000004433403RW1P;30/07/2024;1;0,616;R
ES0022000004433403RW1P;30/07/2024;2;0,478;R
ES0022000004433403RW1P;30/07/2024;3;0,240;R
ES0022000004433403RW1P;30/07/2024;4;0,227;R
ES0022000004433403RW1P;30/07/2024;5;0,208;R
ES0022000004433403RW1P;30/07/2024;6;0,217;R
ES0022000004433403RW1P;30/07/2024;7;0,201;R
ES0022000004433403RW1P;30/07/2024;8;0,218;R
ES0022000004433403RW1P;30/07/2024;9;0,211;R
ES0022000004433403RW1P;30/07/2024;10;0,347;R
ES0022000004433403RW1P;30/07/2024;11;0,340;R
ES0022000004433403RW1P;30/07/2024;12;0,291;R
ES0022000004433403RW1P;30/07/2024;13;0,205;R
ES0022000004433403RW1P;30/07/2024;14;1,063;R
ES0022000004433403RW1P;30/07/2024;15;1,035;R
ES0022000004433403RW1P;30/07/2024;16;0,450;R
ES0022000004433403RW1P;30/07/2024;17;0,386;R
ES0022000004433403RW1P;30/07/2024;18;0,493;R
ES0022000004433403RW1P;30/07/2024;19;0,513;R
ES0022000004433403RW1P;30/07/2024;20;0,502;R
ES0022000004433403RW1P;30/07/2024;21;0,601;R
ES0022000004433403RW1P;30/07/2024;22;0,674;R
ES0022000004433403RW1P;30/07/2024;23;0,700;R
ES0022000004433403RW1P;30/07/2024;24;0,553;R
ES0022000004433403RW1P;31/07/2024;1;0,379;R
ES0022000004433403RW1P;31/07/2024;2;0,355;R
ES0022000004433403RW1P;31/07/2024;3;0,375;R
ES0022000004433403RW1P;31/07/2024;4;0,309;R
ES0022000004433403RW1P;31/07/2024;5;0,222;R
ES0022000004433403RW1P;31/07/2024;6;0,219;R
ES0022000004433403RW1P;31/07/2024;7;0,215;R
ES0022000004433403RW1P;31/07/2024;8;0,213;R
