CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;01/01/2023;1;0,148;R
ES0022000004433403RW1P;01/01/2023;2;0,350;R
ES0022000004433403RW1P;01/01/2023;3;0,387;R
ES0022000004433403RW1P;01/01/2023;4;0,324;R
ES0022000004433403RW1P;01/01/2023;5;0,121;R
ES0022000004433403RW1P;01/01/2023;6;0,127;R
ES0022000004433403RW1P;01/01/2023;7;0,161;R
ES0022000004433403RW1P;01/01/2023;8;0,123;R
ES0022000004433403RW1P;01/01/2023;9;0,040;R
ES0022000004433403RW1P;01/01/2023;10;0,067;R
ES0022000004433403RW1P;01/01/2023;11;0,063;R
ES0022000004433403RW1P;01/01/2023;12;0,104;R
ES0022000004433403RW1P;01/01/2023;13;0,130;R
ES0022000004433403RW1P;01/01/2023;14;0,697;R
ES0022000004433403RW1P;01/01/2023;15;0,556;R
ES0022000004433403RW1P;01/01/2023;16;0,546;R
ES0022000004433403RW1P;01/01/2023;17;0,060;R
ES0022000004433403RW1P;01/01/2023;18;0,059;R
ES0022000004433403RW1P;01/01/2023;19;0,057;R
ES0022000004433403RW1P;01/01/2023;20;0,094;R
ES0022000004433403RW1P;01/01/2023;21;0,367;R
ES0022000004433403RW1P;01/01/2023;22;0,582;R
ES0022000004433403RW1P;01/01/2023;23;0,760;R
ES0022000004433403RW1P;01/01/2023;24;0,260;R
ES0022000004433403RW1P;02/01/2023;1;0,226;R
ES0022000004433403RW1P;02/01/2023;2;0,156;R
ES0022000004433403RW1P;02/01/2023;3;0,077;R
ES0022000004433403RW1P;02/01/2023;4;0,090;R
ES0022000004433403RW1P;02/01/2023;5;0,106;R
ES0022000004433403RW1P;02/01/2023;6;0,106;R
ES0022000004433403RW1P;02/01/2023;7;0,104;R
ES0022000004433403RW1P;02/01/2023;8;0,147;R
ES0022000004433403RW1P;02/01/2023;9;0,113;R
ES0022000004433403RW1P;02/01/2023;10;0,203;R
ES0022000004433403RW1P;02/01/2023;11;0,162;R
ES0022000004433403RW1P;02/01/2023;12;0,325;R
ES0022000004433403RW1P;02/01/2023;13;0,691;R
ES0022000004433403RW1P;02/01/2023;14;0,593;R
ES0022000004433403RW1P;02/01/2023;15;0,960;R
ES0022000004433403RW1P;02/01/2023;16;0,503;R
ES0022000004433403RW1P;02/01/2023;17;0,900;R
ES0022000004433403RW1P;02/01/2023;18;1,294;R
ES0022000004433403RW1P;02/01/2023;19;1,358;R
ES0022000004433403RW1P;02/01/2023;20;0,782;R
ES0022000004433403RW1P;02/01/2023;21;0,568;R
ES0022000004433403RW1P;02/01/2023;22;1,403;R
ES0022000004433403RW1P;02/01/2023;23;0,626;R
ES0022000004433403RW1P;02/01/2023;24;0,321;R
ES0022000004433403RW1P;03/01/2023;1;0,125;R
ES0022000004433403RW1P;03/01/2023;2;0,096;R
ES0022000004433403RW1P;03/01/2023;3;0,069;R
ES0022000004433403RW1P;03/01/2023;4;0,096;R
ES0022000004433403RW1P;03/01/2023;5;0,200;R
ES0022000004433403RW1P;03/01/2023;6;0,099;R
ES0022000004433403RW1P;03/01/2023;7;0,108;R
ES0022000004433403RW1P;03/01/2023;8;0,104;R
ES0022000004433403RW1P;03/01/2023;9;0,099;R
ES0022000004433403RW1P;03/01/2023;10;0,195;R
ES0022000004433403RW1P;03/01/2023;11;0,203;R
ES0022000004433403RW1P;03/01/2023;12;0,276;R
ES0022000004433403RW1P;03/01/2023;13;0,131;R
ES0022000004433403RW1P;03/01/2023;14;0,138;R
ES0022000004433403RW1P;03/01/2023;15;0,292;R
ES0022000004433403RW1P;03/01/2023;16;0,322;R
ES0022000004433403RW1P;03/01/2023;17;1,149;R
ES0022000004433403RW1P;03/01/2023;18;0,851;R
ES0022000004433403RW1P;03/01/2023;19;0,593;R
ES0022000004433403RW1P;03/01/2023;20;0,394;R
ES0022000004433403RW1P;03/01/2023;21;0,354;R
ES0022000004433403RW1P;03/01/2023;22;0,727;R
ES0022000004433403RW1P;03/01/2023;23;0,314;R
ES0022000004433403RW1P;03/01/2023;24;0,107;R
ES0022000004433403RW1P;04/01/2023;1;0,106;R
ES0022000004433403RW1P;04/01/2023;2;0,110;R
ES0022000004433403RW1P;04/01/2023;3;0,059;R
ES0022000004433403RW1P;04/01/2023;4;0,102;R
ES0022000004433403RW1P;04/01/2023;5;0,104;R
ES0022000004433403RW1P;04/01/2023;6;0,057;R
ES0022000004433403RW1P;04/01/2023;7;0,127;R
ES0022000004433403RW1P;04/01/2023;8;0,165;R
ES0022000004433403RW1P;04/01/2023;9;0,058;R
ES0022000004433403RW1P;04/01/2023;10;0,206;R
ES0022000004433403RW1P;04/01/2023;11;0,309;R
ES0022000004433403RW1P;04/01/2023;12;0,543;R
ES0022000004433403RW1P;04/01/2023;13;0,361;R
ES0022000004433403RW1P;04/01/2023;14;1,080;R
ES0022000004433403RW1P;04/01/2023;15;0,533;R
ES0022000004433403RW1P;04/01/2023;16;0,470;R
ES0022000004433403RW1P;04/01/2023;17;0,439;R
ES0022000004433403RW1P;04/01/2023;18;0,367;R
ES0022000004433403RW1P;04/01/2023;19;0,430;R
ES0022000004433403RW1P;04/01/2023;20;0,496;R
ES0022000004433403RW1P;04/01/2023;21;0,859;R
ES0022000004433403RW1P;04/01/2023;22;0,668;R
ES0022000004433403RW1P;04/01/2023;23;0,553;R
ES0022000004433403RW1P;04/01/2023;24;0,531;R
ES0022000004433403RW1P;05/01/2023;1;0,264;R
ES0022000004433403RW1P;05/01/2023;2;0,150;R
ES0022000004433403RW1P;05/01/2023;3;0,108;R
ES0022000004433403RW1P;05/01/2023;4;0,104;R
ES0022000004433403RW1P;05/01/2023;5;0,060;R
ES0022000004433403RW1P;05/01/2023;6;0,105;R
ES0022000004433403RW1P;05/01/2023;7;0,034;R
ES0022000004433403RW1P;05/01/2023;8;0,069;R
ES0022000004433403RW1P;05/01/2023;9;0,202;R
ES0022000004433403RW1P;05/01/2023;10;0,179;R
ES0022000004433403RW1P;05/01/2023;11;0,226;R
ES0022000004433403RW1P;05/01/2023;12;0,538;R
ES0022000004433403RW1P;05/01/2023;13;1,238;R
ES0022000004433403RW1P;05/01/2023;14;0,854;R
ES0022000004433403RW1P;05/01/2023;15;0,485;R
ES0022000004433403RW1P;05/01/2023;16;0,338;R
ES0022000004433403RW1P;05/01/2023;17;0,360;R
ES0022000004433403RW1P;05/01/2023;18;0,430;R
ES0022000004433403RW1P;05/01/2023;19;0,492;R
ES0022000004433403RW1P;05/01/2023;20;0,470;R
ES0022000004433403RW1P;05/01/2023;21;0,508;R
ES0022000004433403RW1P;05/01/2023;22;0,929;R
ES0022000004433403RW1P;05/01/2023;23;0,465;R
ES0022000004433403RW1P;05/01/2023;24;0,365;R
ES0022000004433403RW1P;06/01/2023;1;0,160;R
ES0022000004433403RW1P;06/01/2023;2;0,085;R
ES0022000004433403RW1P;06/01/2023;3;0,090;R
ES0022000004433403RW1P;06/01/2023;4;0,110;R
ES0022000004433403RW1P;06/01/2023;5;0,104;R
ES0022000004433403RW1P;06/01/2023;6;0,070;R
ES0022000004433403RW1P;06/01/2023;7;0,140;R
ES0022000004433403RW1P;06/01/2023;8;0,143;R
ES0022000004433403RW1P;06/01/2023;9;0,140;R
ES0022000004433403RW1P;06/01/2023;10;0,094;R
ES0022000004433403RW1P;06/01/2023;11;0,247;R
ES0022000004433403RW1P;06/01/2023;12;0,384;R
ES0022000004433403RW1P;06/01/2023;13;0,477;R
ES0022000004433403RW1P;06/01/2023;14;0,605;R
ES0022000004433403RW1P;06/01/2023;15;0,396;R
ES0022000004433403RW1P;06/01/2023;16;1,714;R
ES0022000004433403RW1P;06/01/2023;17;0,504;R
ES0022000004433403RW1P;06/01/2023;18;0,184;R
ES0022000004433403RW1P;06/01/2023;19;0,273;R
ES0022000004433403RW1P;06/01/2023;20;0,280;R
ES0022000004433403RW1P;06/01/2023;21;0,203;R
ES0022000004433403RW1P;06/01/2023;22;0,218;R
ES0022000004433403RW1P;06/01/2023;23;2,632;R
ES0022000004433403RW1P;06/01/2023;24;1,314;R
ES0022000004433403RW1P;07/01/2023;1;0,321;R
ES0022000004433403RW1P;07/01/2023;2;0,135;R
ES0022000004433403RW1P;07/01/2023;3;0,109;R
ES0022000004433403RW1P;07/01/2023;4;0,063;R
ES0022000004433403RW1P;07/01/2023;5;0,112;R
ES0022000004433403RW1P;07/01/2023;6;0,099;R
ES0022000004433403RW1P;07/01/2023;7;0,073;R
ES0022000004433403RW1P;07/01/2023;8;0,113;R
ES0022000004433403RW1P;07/01/2023;9;0,073;R
ES0022000004433403RW1P;07/01/2023;10;0,134;R
ES0022000004433403RW1P;07/01/2023;11;0,379;R
ES0022000004433403RW1P;07/01/2023;12;0,267;R
ES0022000004433403RW1P;07/01/2023;13;0,989;R
ES0022000004433403RW1P;07/01/2023;14;0,770;R
ES0022000004433403RW1P;07/01/2023;15;0,991;R
ES0022000004433403RW1P;07/01/2023;16;0,515;R
ES0022000004433403RW1P;07/01/2023;17;0,358;R
ES0022000004433403RW1P;07/01/2023;18;0,360;R
ES0022000004433403RW1P;07/01/2023;19;0,589;R
ES0022000004433403RW1P;07/01/2023;20;0,422;R
ES0022000004433403RW1P;07/01/2023;21;0,405;R
ES0022000004433403RW1P;07/01/2023;22;0,864;R
ES0022000004433403RW1P;07/01/2023;23;1,389;R
ES0022000004433403RW1P;07/01/2023;24;0,418;R
ES0022000004433403RW1P;08/01/2023;1;0,176;R
ES0022000004433403RW1P;08/01/2023;2;0,167;R
ES0022000004433403RW1P;08/01/2023;3;0,085;R
ES0022000004433403RW1P;08/01/2023;4;0,081;R
ES0022000004433403RW1P;08/01/2023;5;0,108;R
ES0022000004433403RW1P;08/01/2023;6;0,105;R
ES0022000004433403RW1P;08/01/2023;7;0,059;R
ES0022000004433403RW1P;08/01/2023;8;0,107;R
ES0022000004433403RW1P;08/01/2023;9;0,158;R
ES0022000004433403RW1P;08/01/2023;10;0,155;R
ES0022000004433403RW1P;08/01/2023;11;0,191;R
ES0022000004433403RW1P;08/01/2023;12;0,274;R
ES0022000004433403RW1P;08/01/2023;13;1,229;R
ES0022000004433403RW1P;08/01/2023;14;1,421;R
ES0022000004433403RW1P;08/01/2023;15;0,939;R
ES0022000004433403RW1P;08/01/2023;16;0,421;R
ES0022000004433403RW1P;08/01/2023;17;0,137;R
ES0022000004433403RW1P;08/01/2023;18;0,166;R
ES0022000004433403RW1P;08/01/2023;19;0,167;R
ES0022000004433403RW1P;08/01/2023;20;0,136;R
ES0022000004433403RW1P;08/01/2023;21;0,540;R
ES0022000004433403RW1P;08/01/2023;22;0,504;R
ES0022000004433403RW1P;08/01/2023;23;0,165;R
ES0022000004433403RW1P;08/01/2023;24;0,125;R
ES0022000004433403RW1P;09/01/2023;1;0,113;R
ES0022000004433403RW1P;09/01/2023;2;0,077;R
ES0022000004433403RW1P;09/01/2023;3;0,086;R
ES0022000004433403RW1P;09/01/2023;4;0,106;R
ES0022000004433403RW1P;09/01/2023;5;0,078;R
ES0022000004433403RW1P;09/01/2023;6;0,081;R
ES0022000004433403RW1P;09/01/2023;7;0,124;R
ES0022000004433403RW1P;09/01/2023;8;0,206;R
ES0022000004433403RW1P;09/01/2023;9;0,170;R
ES0022000004433403RW1P;09/01/2023;10;0,137;R
ES0022000004433403RW1P;09/01/2023;11;0,493;R
ES0022000004433403RW1P;09/01/2023;12;0,983;R
ES0022000004433403RW1P;09/01/2023;13;0,248;R
ES0022000004433403RW1P;09/01/2023;14;0,667;R
ES0022000004433403RW1P;09/01/2023;15;0,506;R
ES0022000004433403RW1P;09/01/2023;16;0,471;R
ES0022000004433403RW1P;09/01/2023;17;0,460;R
ES0022000004433403RW1P;09/01/2023;18;0,417;R
ES0022000004433403RW1P;09/01/2023;19;0,449;R
ES0022000004433403RW1P;09/01/2023;20;0,383;R
ES0022000004433403RW1P;09/01/2023;21;1,102;R
ES0022000004433403RW1P;09/01/2023;22;0,444;R
ES0022000004433403RW1P;09/01/2023;23;0,165;R
ES0022000004433403RW1P;09/01/2023;24;0,222;R
ES0022000004433403RW1P;10/01/2023;1;0,208;R
ES0022000004433403RW1P;10/01/2023;2;0,083;R
ES0022000004433403RW1P;10/01/2023;3;0,123;R
ES0022000004433403RW1P;10/01/2023;4;0,071;R
ES0022000004433403RW1P;10/01/2023;5;0,102;R
ES0022000004433403RW1P;10/01/2023;6;0,111;R
ES0022000004433403RW1P;10/01/2023;7;0,086;R
ES0022000004433403RW1P;10/01/2023;8;0,214;R
ES0022000004433403RW1P;10/01/2023;9;0,169;R
ES0022000004433403RW1P;10/01/2023;10;0,117;R
ES0022000004433403RW1P;10/01/2023;11;0,427;R
ES0022000004433403RW1P;10/01/2023;12;0,266;R
ES0022000004433403RW1P;10/01/2023;13;0,926;R
ES0022000004433403RW1P;10/01/2023;14;1,055;R
ES0022000004433403RW1P;10/01/2023;15;1,223;R
ES0022000004433403RW1P;10/01/2023;16;0,300;R
ES0022000004433403RW1P;10/01/2023;17;0,285;R
ES0022000004433403RW1P;10/01/2023;18;0,357;R
ES0022000004433403RW1P;10/01/2023;19;0,830;R
ES0022000004433403RW1P;10/01/2023;20;1,650;R
ES0022000004433403RW1P;10/01/2023;21;1,247;R
ES0022000004433403RW1P;10/01/2023;22;0,171;R
ES0022000004433403RW1P;10/01/2023;23;0,133;R
ES0022000004433403RW1P;10/01/2023;24;0,282;R
ES0022000004433403RW1P;11/01/2023;1;0,217;R
ES0022000004433403RW1P;11/01/2023;2;0,108;R
ES0022000004433403RW1P;11/01/2023;3;0,118;R
ES0022000004433403RW1P;11/01/2023;4;0,081;R
ES0022000004433403RW1P;11/01/2023;5;0,084;R
ES0022000004433403RW1P;11/01/2023;6;0,099;R
ES0022000004433403RW1P;11/01/2023;7;0,117;R
ES0022000004433403RW1P;11/01/2023;8;0,243;R
ES0022000004433403RW1P;11/01/2023;9;0,147;R
ES0022000004433403RW1P;11/01/2023;10;0,192;R
ES0022000004433403RW1P;11/01/2023;11;0,135;R
ES0022000004433403RW1P;11/01/2023;12;0,197;R
ES0022000004433403RW1P;11/01/2023;13;0,192;R
ES0022000004433403RW1P;11/01/2023;14;1,009;R
ES0022000004433403RW1P;11/01/2023;15;0,780;R
ES0022000004433403RW1P;11/01/2023;16;0,287;R
ES0022000004433403RW1P;11/01/2023;17;0,231;R
ES0022000004433403RW1P;11/01/2023;18;0,211;R
ES0022000004433403RW1P;11/01/2023;19;0,287;R
ES0022000004433403RW1P;11/01/2023;20;0,252;R
ES0022000004433403RW1P;11/01/2023;21;0,294;R
ES0022000004433403RW1P;11/01/2023;22;0,633;R
ES0022000004433403RW1P;11/01/2023;23;0,606;R
ES0022000004433403RW1P;11/01/2023;24;0,177;R
ES0022000004433403RW1P;12/01/2023;1;0,078;R
ES0022000004433403RW1P;12/01/2023;2;0,113;R
ES0022000004433403RW1P;12/01/2023;3;0,102;R
ES0022000004433403RW1P;12/01/2023;4;0,097;R
ES0022000004433403RW1P;12/01/2023;5;0,069;R
ES0022000004433403RW1P;12/01/2023;6;0,086;R
ES0022000004433403RW1P;12/01/2023;7;0,107;R
ES0022000004433403RW1P;12/01/2023;8;0,215;R
ES0022000004433403RW1P;12/01/2023;9;0,158;R
