CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;23/08/2024;18;0,148;R
ES0022000004433403RW1P;23/08/2024;19;0,137;R
ES0022000004433403RW1P;23/08/2024;20;0,134;R
ES0022000004433403RW1P;23/08/2024;21;0,229;R
ES0022000004433403RW1P;23/08/2024;22;0,550;R
ES0022000004433403RW1P;23/08/2024;23;0,161;R
ES0022000004433403RW1P;23/08/2024;24;0,244;R
ES0022000004433403RW1P;24/08/2024;1;0,242;R
ES0022000004433403RW1P;24/08/2024;2;0,180;R
ES0022000004433403RW1P;24/08/2024;3;0,173;R
ES0022000004433403RW1P;24/08/2024;4;0,165;R
ES0022000004433403RW1P;24/08/2024;5;0,160;R
ES0022000004433403RW1P;24/08/2024;6;0,148;R
ES0022000004433403RW1P;24/08/2024;7;0,162;R
ES0022000004433403RW1P;24/08/2024;8;0,164;R
ES0022000004433403RW1P;24/08/2024;9;0,149;R
ES0022000004433403RW1P;24/08/2024;10;0,750;R
ES0022000004433403RW1P;24/08/2024;11;0,707;R
ES0022000004433403RW1P;24/08/2024;12;0,645;R
ES0022000004433403RW1P;24/08/2024;13;0,393;R
ES0022000004433403RW1P;24/08/2024;14;0,938;R
ES0022000004433403RW1P;24/08/2024;15;0,516;R
ES0022000004433403RW1P;24/08/2024;16;0,371;R
ES0022000004433403RW1P;24/08/2024;17;0,343;R
ES0022000004433403RW1P;24/08/2024;18;0,446;R
ES0022000004433403RW1P;24/08/2024;19;0,404;R
ES0022000004433403RW1P;24/08/2024;20;0,446;R
ES0022000004433403RW1P;24/08/2024;21;1,495;R
ES0022000004433403RW1P;24/08/2024;22;1,596;R
ES0022000004433403RW1P;24/08/2024;23;0,588;R
ES0022000004433403RW1P;24/08/2024;24;0,352;R
ES0022000004433403RW1P;25/08/2024;1;0,207;R
ES0022000004433403RW1P;25/08/2024;2;0,135;R
ES0022000004433403RW1P;25/08/2024;3;0,132;R
ES0022000004433403RW1P;25/08/2024;4;0,132;R
ES0022000004433403RW1P;25/08/2024;5;0,126;R
ES0022000004433403RW1P;25/08/2024;6;0,126;R
ES0022000004433403RW1P;25/08/2024;7;0,125;R
ES0022000004433403RW1P;25/08/2024;8;0,231;R
ES0022000004433403RW1P;25/08/2024;9;0,177;R
ES0022000004433403RW1P;25/08/2024;10;0,206;R
ES0022000004433403RW1P;25/08/2024;11;0,221;R
ES0022000004433403RW1P;25/08/2024;12;0,236;R
ES0022000004433403RW1P;25/08/2024;13;0,259;R
ES0022000004433403RW1P;25/08/2024;14;0,243;R
ES0022000004433403RW1P;25/08/2024;15;0,685;R
ES0022000004433403RW1P;25/08/2024;16;0,372;R
ES0022000004433403RW1P;25/08/2024;17;0,372;R
ES0022000004433403RW1P;25/08/2024;18;0,403;R
ES0022000004433403RW1P;25/08/2024;19;0,377;R
ES0022000004433403RW1P;25/08/2024;20;0,306;R
ES0022000004433403RW1P;25/08/2024;21;0,869;R
ES0022000004433403RW1P;25/08/2024;22;0,679;R
ES0022000004433403RW1P;25/08/2024;23;0,395;R
ES0022000004433403RW1P;25/08/2024;24;0,269;R
ES0022000004433403RW1P;26/08/2024;1;0,231;R
ES0022000004433403RW1P;26/08/2024;2;0,167;R
ES0022000004433403RW1P;26/08/2024;3;0,121;R
ES0022000004433403RW1P;26/08/2024;4;0,113;R
ES0022000004433403RW1P;26/08/2024;5;0,124;R
ES0022000004433403RW1P;26/08/2024;6;0,190;R
ES0022000004433403RW1P;26/08/2024;7;0,164;R
ES0022000004433403RW1P;26/08/2024;8;0,127;R
ES0022000004433403RW1P;26/08/2024;9;0,742;R
ES0022000004433403RW1P;26/08/2024;10;0,716;R
ES0022000004433403RW1P;26/08/2024;11;0,457;R
ES0022000004433403RW1P;26/08/2024;12;0,143;R
ES0022000004433403RW1P;26/08/2024;13;0,171;R
ES0022000004433403RW1P;26/08/2024;14;0,331;R
ES0022000004433403RW1P;26/08/2024;15;0,568;R
ES0022000004433403RW1P;26/08/2024;16;0,450;R
ES0022000004433403RW1P;26/08/2024;17;0,432;R
ES0022000004433403RW1P;26/08/2024;18;0,362;R
ES0022000004433403RW1P;26/08/2024;19;0,391;R
ES0022000004433403RW1P;26/08/2024;20;0,369;R
ES0022000004433403RW1P;26/08/2024;21;0,440;R
ES0022000004433403RW1P;26/08/2024;22;0,652;R
ES0022000004433403RW1P;26/08/2024;23;0,547;R
ES0022000004433403RW1P;26/08/2024;24;0,477;R
